b	y
AAAS	-3.5015402226546954
AACS	1.3502212795476267
AADAT	0.4325266817210416
AAGAB	-4.412529739439498
AAK1	6.668383309689581
AAMP	-3.559131540677288
AARS	-0.06848067705860247
AARS2	-2.427910768084603
AARSD1	5.163221988838359
AASDH	-1.4132216147349166
AASDHPPT	3.726698712034728
AASS	-10.0
ABAT	-9.604421088382065
ABCA1	-10.0
ABCA3	5.224106843530193
ABCA5	-1.7661603426291952
ABCB6	-7.077361926035246
ABCB7	-2.626889785853156
ABCB8	1.3051644999460332
ABCC5	5.271732058690089
ABCC9	-4.3957142093169566
ABCD3	-6.612183188799175
ABCD4	-3.7284355798602986
ABCE1	-4.539542372106362
ABCF2	0.024324422991634613
ABCF3	-2.2554029341281994
ABHD10	1.6286284000938083
ABHD12	-1.4210543828641924
ABHD13	1.6194835578693014
ABHD14A	3.4008310393903245
ABHD2	-1.8581539120406565
ABHD3	-7.253692298873982
ABHD4	-10.0
ABHD5	2.658609271704881
ABI1	-1.223953968066898
ABI2	-3.2211070387895555
ABL1	-2.8665432672631272
ABL2	1.4252150256127227
ABLIM3	6.705710467510832
ABT1	-1.4699524542721023
ACAA1	-0.01306180563972712
ACAA2	-10.0
ACAD10	-3.5172253462446608
ACAD11	-6.251301291533473
ACAD8	0.3044338991924447
ACAD9	-3.8760105783924566
ACADM	-6.50677924911626
ACADSB	-1.2330353824747566
ACADVL	-4.724462900529411
ACAP2	1.1736051855082668
ACAT1	1.2771738591324453
ACAT2	-3.614470472419212
ACBD3	-1.7764951007909202
ACBD5	-4.987817405282957
ACBD6	-1.042005743588747
ACBD7	-9.120578223191176
ACD	0.8194067178584316
ACER3	-4.6746104761112575
ACIN1	-1.6290727919685404
ACLY	-0.5717296267760825
ACO1	-3.6155611125548335
ACO2	2.204157120076896
ACOT13	-3.325885026515373
ACOT7	10.0
ACOT8	1.532411825490395
ACOX1	1.0160279364376057
ACOX3	-1.1254344354280479
ACP1	-1.5884993123862294
ACP2	-2.2533187463324618
ACSF3	-1.1797945111463444
ACSL1	5.0567512485404595
ACSL3	-2.453208361145099
ACSL4	6.462969742340008
ACSS2	-3.5094667440004765
ACTB	10.0
ACTG1	10.0
ACTL6A	-2.515614271495219
ACTL6B	10.0
ACTN1	-6.234176664240398
ACTR10	2.616574681176478
ACTR1A	5.251795479651892
ACTR1B	-2.1088546264031574
ACTR2	-2.9109686216559205
ACTR3	-6.086821447822728
ACTR3B	-1.9423441022046268
ACTR5	0.4502595974335738
ACTR6	0.30296382247596904
ACTR8	-0.11699967195312147
ACVR2A	1.3948386167858973
ACVR2B	-2.726461054443643
ACYP1	1.5475100322656463
ADAL	-3.4350189387210546
ADAM10	-1.452228984259054
ADAM15	-2.714877260725096
ADAM17	-5.335570615115809
ADAM19	6.731126918936121
ADAR	-4.205520056093204
ADAT1	1.1202952837126046
ADCK4	-3.1166403331607517
ADCY1	5.204327786047616
ADCYAP1R1	-5.5385603339993015
ADD1	-6.178498480158943
ADD2	5.5943807235102785
ADD3	-5.733414856856723
ADH5	-6.298279912246003
ADIPOR1	-0.853884575875703
ADK	-9.273058636536593
ADNP	0.3411533885499398
ADNP2	1.244515556346257
ADPGK	-1.0680905123201527
ADPRHL2	-1.1310713608088343
ADRBK2	2.899743985067245
ADRM1	0.6339280861897996
ADSL	-4.899423129943036
ADSS	-5.0034452290691105
AEBP2	-4.715461564543634
AEN	-9.238345669783566
AES	8.402751087843487
AFAP1	4.981792337368628
AFF2	-4.936834679224918
AFF4	-1.3395826822189671
AFG3L1P	-2.3128461267853333
AFG3L2	-4.652067262441413
AFMID	-4.512605059744639
AFTPH	2.739633729827241
AGA	-6.055991784149118
AGAP3	3.5923980658555763
AGBL5	-1.3801867473440048
AGFG1	-0.9527828797832862
AGGF1	-2.610697558217091
AGL	-1.090094531031098
AGPAT4	0.7931418620804687
AGPAT5	-6.060715162292047
AGPAT6	-1.0748577400496584
AGPS	-4.540431994312791
AGTPBP1	2.8181493103145923
AHCTF1	-2.6745586421383245
AHCY	-6.692908781631582
AHCYL1	-3.7423499201774297
AHCYL2	-2.8710470345551604
AHI1	-8.99569668702148
AHSA1	-0.7228139227188377
AIDA	-5.7487051388149455
AIF1L	-10.0
AIFM1	-0.8036812755546078
AIG1	-4.865027035415749
AIMP1	-2.6882086978570894
AIMP2	-3.2009910437076576
AIP	0.5295394944444827
AK1	9.335691796005289
AK2	-7.785862402743479
AK3	-1.8427338841184768
AK4	-10.0
AKAP10	-1.1718127309122528
AKAP11	-1.0959987060374514
AKAP12	-7.130621525994265
AKAP13	-10.0
AKAP5	6.658154332033813
AKAP6	5.157153302384838
AKAP7	7.3581150265928335
AKAP8	-3.264227799647379
AKAP8L	0.9836175287435476
AKAP9	8.554292232839373
AKIRIN1	-0.664444685589482
AKIRIN2	-1.1883514349822184
AKR1A1	-4.776994025064296
AKR1B1	0.5253468448195117
AKR1C1	10.0
AKR1C2	8.009393436383291
AKR7A2	-3.374401218800516
AKT1	-2.633478404579661
AKTIP	-2.5847070042768014
ALAD	2.252196944208394
ALAS1	3.1842077440287007
ALDH18A1	-5.3523176371055285
ALDH1B1	-7.822706442388313
ALDH2	-1.529947100893206
ALDH3A2	-3.3283410247582834
ALDH5A1	-0.8872448446212267
ALDH6A1	-7.482366337672616
ALDH7A1	-10.0
ALDH9A1	-7.739205653385701
ALDOA	-3.114610237205779
ALDOC	-0.7641050554460583
ALG1	-3.4068306776350608
ALG10B	-2.5245896637317484
ALG11	-2.6408526167647888
ALG12	-1.8829034521132657
ALG13	-1.048059861855123
ALG14	-2.380894290372962
ALG2	-3.2787411091715284
ALG3	-3.387017870044439
ALG5	-1.9102825733142776
ALG6	-0.4197094623259461
ALG8	-7.4826711831158255
ALG9	-0.1739078667250459
ALKBH1	-0.5220508778641204
ALKBH2	-3.570495053136917
ALKBH4	1.2609741609706593
ALKBH5	-0.2321932010854954
ALKBH7	3.9074421655600764
ALMS1	-2.9121036889341982
ALS2	2.020795208209833
AMACR	0.24253771550977496
AMBRA1	1.4729218887969435
AMD1	-0.6282381374282251
AMFR	-6.3934307264268675
AMMECR1	-10.0
AMMECR1L	-1.3429979351405268
AMN1	6.157006857035356
AMOT	-7.316166536949504
AMOTL1	2.0850425958069883
AMOTL2	1.9293008666732177
AMPD2	2.0894799111146827
AMPH	4.710447776476774
AMZ2	-1.277910290168453
AMZ2P1	0.2723233183364728
ANAPC1	-5.407136007334881
ANAPC10	-2.847377123040224
ANAPC11	1.1507244255188591
ANAPC13	-0.2285816660084412
ANAPC16	-3.096587613356716
ANAPC4	-2.1212978025641758
ANAPC5	-0.968610164921242
ANAPC7	-1.2182916416572351
ANGEL2	-3.6816135882087777
ANK2	-2.2637410902089363
ANK3	6.972477715859994
ANKFY1	0.033014696400990334
ANKHD1	-7.4479977622108136
ANKIB1	0.9819858311827679
ANKLE2	-2.0825519068602505
ANKMY2	2.1128840498610075
ANKRA2	1.840810682170704
ANKRD10	-2.9525068441209235
ANKRD11	-5.0365331148248735
ANKRD12	8.215494990604034
ANKRD13C	-0.5807465484102133
ANKRD17	-1.4328981632018856
ANKRD26	-3.9807412699695712
ANKRD27	-1.075330747682666
ANKRD28	1.886011480497899
ANKRD32	-4.247531834368207
ANKRD36	-3.379187811136495
ANKRD36B	-2.8060044991907263
ANKRD39	1.37839229985066
ANKRD40	-2.705938901264072
ANKRD44	3.569394055330537
ANKRD46	8.436797756415782
ANKRD49	-1.426987240834589
ANKRD50	5.203950668485252
ANKRD52	-1.069384767871849
ANKRD54	-0.7963723602067413
ANKRD6	-3.782046274836495
ANKS1A	1.9270446464968505
ANKS1B	3.3087624607974764
ANKZF1	0.1872587234037128
ANLN	-7.9332432303324705
ANO10	-0.2820397773337119
ANO6	-5.565513976931159
ANP32A	-5.9707478156487195
ANP32B	-7.0750776272339655
ANP32E	-10.0
ANTXR1	-10.0
ANTXR2	-3.746322958700509
ANXA2	-6.7306838615256845
ANXA5	-10.0
ANXA7	-6.575761423838085
AP1AR	0.5717261899545326
AP1B1	-0.4910063976360974
AP1G1	1.0317639153190363
AP1M1	3.2617506393709936
AP1S2	4.060258932368463
AP2A1	0.9108972279004404
AP2B1	0.209525630225562
AP2M1	7.079974319641512
AP2S1	2.1029404435745667
AP3B1	-6.933376611335508
AP3B2	4.401065649691083
AP3D1	0.005347659301343928
AP3M1	-3.8424013951578377
AP3M2	1.6002296504130555
AP3S1	-1.1171668542531512
AP3S2	-0.5883894268061128
AP4B1	1.497585221431836
APAF1	-1.8213959945596825
APBB1	3.505970505458885
APBB2	-9.76152157356223
APBB3	3.2129792693329238
APC	2.332973366545968
APEH	-3.525500411908208
APEX1	-2.632593005041328
APH1A	-0.6710915480849262
APH1B	-8.604352478309615
API5	-2.7035665915888645
APIP	-2.9459737288929317
APLP1	4.139802551509681
APLP2	-3.3151639748505866
APOA1BP	-2.1980471395452805
APOO	-1.009596871550784
APOOL	-6.464062236777884
APP	4.35164364558823
APPBP2	-3.278587762311994
APPL1	-5.226407510047193
APPL2	-6.274103178691847
APRT	-2.8165367400045005
APTX	0.3338765890041139
AQR	-2.027525329167819
ARAF	-4.517989111783475
ARC	3.7272373830174734
ARCN1	0.20279338800523006
ARF1	1.341628498945979
ARF3	5.621084889434368
ARF4	-0.4209079180883927
ARF5	4.880576336388439
ARF6	-0.9857691973533552
ARFGAP1	-3.0164488246479664
ARFGAP2	2.007761423757313
ARFGAP3	-0.9367890128817732
ARFGEF1	-2.144499898612175
ARFIP1	-2.3982793027305194
ARFIP2	1.4643470768110098
ARFRP1	0.8806744744716762
ARG2	9.89933063574232
ARGLU1	-2.9050813979880488
ARHGAP1	4.155539088636528
ARHGAP12	-0.5051462968668667
ARHGAP17	-5.333727019953059
ARHGAP19	-4.617357058978913
ARHGAP21	-1.0912110743561234
ARHGAP32	0.8740701545946181
ARHGAP5	-10.0
ARHGDIA	-0.2949295856965222
ARHGEF12	6.400894054562078
ARHGEF2	5.095359701890271
ARHGEF40	-5.7917364738225645
ARHGEF6	-10.0
ARHGEF7	2.9285630136959164
ARHGEF9	0.7747623915230861
ARID1A	-2.3403626139500857
ARID1B	1.895871805245916
ARID2	-1.6559842305088874
ARID3B	2.9884659052874056
ARID4A	6.130240637276418
ARID4B	-1.0656593638010097
ARID5B	3.1997454085077828
ARIH1	1.2776876608941536
ARIH2	-1.7297372971944291
ARL1	-3.5372571187434096
ARL13B	-6.069319707550338
ARL15	2.9582124865217323
ARL16	0.025322792284798185
ARL17A	-2.737639411107592
ARL2	0.40337089942897497
ARL2BP	2.1451540324243474
ARL3	1.4671297450963894
ARL4A	-2.8088673682662724
ARL4C	6.776271013904459
ARL4D	10.0
ARL5A	-6.728730267535356
ARL5B	-0.8941761743484374
ARL6IP1	1.4751818316669083
ARL6IP4	-2.215976184095688
ARL6IP5	-0.4094161208951109
ARL6IP6	-6.769314043898369
ARL8B	-0.4844620667547235
ARMC1	0.05114596615594928
ARMC5	0.21156960942253586
ARMC6	1.8430351687631383
ARMC8	1.2490542629818435
ARMCX1	1.4892770854131565
ARMCX2	-3.585080614744784
ARMCX3	2.333358030885905
ARMCX4	1.2133727556375586
